# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.34175,4.71,-153.16821334883707,0,3.0,-145.93984850578684,0.0,0.0,0.314257829104156
 0.02261207517663708,14.341065615299902,4.709653815712906,-153.16821334883707,0.06783622552991124,3.0,-145.93984850578684,0.0071060216565499434,-626.5527197491097,1.77633215629961
 0.034612613910824125,14.340093490948751,4.709313138465692,-160.6871835311965,0.10383784173247237,2.9999999999999996,-65.71174814655872,0.02842296450300541,-405.0881843168115,3.277438214099037
 0.045451719188581985,14.338835650651479,4.708977935277186,-165.0779770077822,0.13635515756574598,3.0000000000000027,-34.52991621494516,0.06394746234697157,-274.4057577789886,4.792183774800742
 0.05582829184277323,14.337294118113034,4.708648173166225,-167.9253682901043,0.1674848755283197,2.9999999999999987,-20.231229754376354,0.11367390545842793,-196.0293401347655,6.30599332362516
 0.06596476562520746,14.335470917038352,4.708323819151638,-169.9124145569682,0.1978942968756224,3.0,-12.827896390522163,0.1775944414555597,-146.35034038318014,7.817458020719629
 0.07595580553641333,14.33336807113238,4.70800484025226,-171.37460664875513,0.22786741660924,3.0,-8.63149065902266,0.25569897654474594,-113.17965483405474,9.327642756287744
 0.08584857297838311,14.330987604100056,4.7076912034869185,-172.49426665319086,0.2575457189351493,2.9999999999999987,-6.0818363548938015,0.34797517711447457,-90.0383604553796,10.837832624468549
 0.09566910612891504,14.328331539646321,4.707382875874451,-173.37849135686247,0.2870073183867451,2.9999999999999987,-4.44562343884616,0.45440847168298437,-73.29642868607056,12.34907835710709
 0.1054328778072175,14.325401901476116,4.707079824433688,-174.09414095138823,0.3162986334216525,3.0000000000000013,-3.3482567068386624,0.5749820531992444,-60.81262127913962,13.86215496782813
 0.11514960863372695,14.322200713294386,4.706782016183461,-174.6850408232121,0.3454488259011808,2.9999999999999973,-2.5850994203301965,0.7096768816969912,-51.26486644802869,15.37760803277742
 0.12482567823357923,14.318729998806068,4.706489418142604,-175.18108323899034,0.3744770347007377,3.0,-2.0380259140488026,0.8584716873013931,-43.80390161757068,16.895807966350347
 0.1344654235840665,14.314991781716108,4.706201997329947,-175.6033416959415,0.40339627075219947,3.0000000000000027,-1.63563690495368,1.0213429735877444,-37.86519662969559,18.41699479118786
 0.14407187945322847,14.310988085729443,4.7059197207643235,-175.96709203634182,0.4322156383596854,3.0,-1.3330605848983093,1.1982650212918766,-33.0621949986393,19.941311819317672
 0.15364722097587946,14.306720934551018,4.705642555464567,-176.28367384494229,0.46094166292763833,2.9999999999999942,-1.1011380853158734,1.3892098923715201,-29.123271838364726,21.468830249499142
 0.16319303878080044,14.302192351885772,4.705370468449509,-176.5616792917945,0.48957911634240125,3.0,-0.9203642058225119,1.594147434418015,-25.85318120779111,22.999567006108453
 0.17271051582467828,14.297404361438646,4.70510342673798,-176.80773635045085,0.5181315474740348,3.0,-0.7773564038616614,1.8130452854177825,-23.108737277384087,24.53349771229432
 0.18220054436341904,14.292358986914584,4.704841397348815,-177.02703892670752,0.5466016330902571,3.0000000000000058,-0.662725276593571,2.0458688788625867,-20.783045484099958,26.070566193491768
 0.19166380528818794,14.287058252018525,4.7045843473008455,-177.22371430893486,0.5749914158645638,3.0,-0.5697508634322372,2.2925814492080585,-18.795023096648578,27.6106915042809
 0.20110082313436883,14.281504180455412,4.704332243612903,-177.40108327731735,0.6033024694031065,3.0,-0.4935374723044519,2.5531440376793526,-17.082279589816476,29.153773176975385
 0.21051200497619435,14.275698795930186,4.704085053303821,-177.56184771681,0.6315360149285831,3.000000000000009,-0.43046095740111523,2.827515498423203,-15.596182594652717,30.699695182900992
 0.2198976684124435,14.269644122147787,4.703842743392431,-177.7082282375337,0.6596930052373305,3.0,-0.377799383269223,3.1156525050053507,-14.298376476561398,32.248328952896216
 0.22925806202191812,14.263342182813158,4.703605280897565,-177.84206666933076,0.6877741860657545,3.000000000000003,-0.33348137971313646,3.4175095572522762,-13.158285407059006,33.799535703545104
 0.23859338052899465,14.25679500163124,4.7033726328380565,-177.9649034546127,0.7157801415869841,3.0000000000000058,-0.29591162941504884,3.7330389884361748,-12.151295647059436,35.353168246315434
 0.2479037761934699,14.250004602306975,4.703144766232737,-178.07803682492283,0.7437113285804098,2.999999999999991,-0.2638478786361606,4.062190972802134,-11.257414115308972,36.90907240734425
 0.2571893674663043,14.2429730085453,4.702921648100439,-178.1825685711866,0.7715681023989128,2.999999999999991,-0.23631297133673465,4.404913533436182,-10.460265933286006,38.4670881520779
 0.2664502456390545,14.235702244051165,4.702703245459995,-178.27943981964935,0.7993507369171635,3.0,-0.21253107310079725,4.761152550473019,-9.746336604499463,40.02705048328237
 0.2756864800032026,14.228194332529505,4.702489525330237,-178.36945926872036,0.8270594400096078,3.0,-0.19188085080033884,5.130851769642203,-9.104392952739522,41.588790164666555
 0.2848981218901698,14.220451297685262,4.702280454729998,-178.45332567619926,0.8546943656705093,2.999999999999994,-0.17386070033961085,5.513952811151333,-8.525036257309338,43.15213430811143
 0.2940852078619307,14.212475163223377,4.702076000678108,-178.5316459172075,0.882255623585792,2.999999999999994,-0.15806264222908653,5.910395178904928,-8.000354221127704,44.71690685430889
 0.3032477622507518,14.204267952848795,4.701876130193403,-178.60494959788844,0.9097432867522551,2.999999999999988,-0.14415252791966784,6.320116270057379,-7.523647545755825,46.282928968917474
